Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0R2P000000Lmd4UAC,Tiotropium bromide and glycopyrronium,A-01404,,Tiotropium bromide and glycopyrronium,PHARMAC Initiated,Amending access - removing FEV1 requirement for renewals,Decision,Tiotropium bromide and glycopyrronium,/apptracker/s/application-public/a102P000008pubf,Respiratory System and Allergies
a0R2P000000MW0jUAG,Tirofiban Hydrochloride,A-01368,,Tirofiban Hydrochloride,PHARMAC Initiated,Acute coronary syndromes undergoing percutaneous coronary intervention,Decision,Tirofiban Hydrochloride,/apptracker/s/application-public/a102P000008ptyZ,Blood and Blood Forming Organs
a0R2P000000LmfSUAS,Tolterodine L-Tartrate,A-00825,,Tolterodine L-Tartrate,PHARMAC Initiated,Overactive bladder,Decision,Tolterodine L-Tartrate,/apptracker/s/application-public/a102P000008ptpX,Genito-Urinary System
a0R2P000000MVX8UAO,Topiramate sprinkle cap 50 mg,A-00189,,Topiramate sprinkle cap 50 mg,PHARMAC Initiated,Hospital listing,Decision,Topiramate sprinkle cap 50 mg,/apptracker/s/application-public/a102P000008puYP,Nervous System
a0R2P000000OUYDUA4,Topotecan,A-00190,,Topotecan,PHARMAC Initiated,Hospital listing,Decision,Topotecan,/apptracker/s/application-public/a102P000008puaa,Oncology Agents and Immunosuppressants
a0R2P000000MVhIUAW,"Tramadol tablet, sustained-release 50 mg",A-00191,,"Tramadol tablet, sustained-release 50 mg",PHARMAC Initiated,Hospital listing,Decision,"Tramadol tablet, sustained-release 50 mg",/apptracker/s/application-public/a102P000008puTg,Nervous System
a0ROZ00000085P72AI,Trastuzumab,A-01234,Herceptin,Trastuzumab,PHARMAC Initiated,early HER-2 positive breast cancer - 9 week regimen,Decision,Trastuzumab (Herceptin),/apptracker/s/application-public/a102P000008pu4W,Oncology Agents and Immunosuppressants
a0R2P000000MwSLUA0,"Triamcinolone hexacetonide injection 20 mg per ml, 5 ml",A-00192,Aristopan,"Triamcinolone hexacetonide injection 20 mg per ml, 5 ml",PHARMAC Initiated,Hospital listing,Decision,"Triamcinolone hexacetonide injection 20 mg per ml, 5 ml (Aristopan)",/apptracker/s/application-public/a102P000008ptrH,Hormone Preparations - Systemic Excluding Contraceptive Hormones
a0R2P000000MVhSUAW,Triamterene with hydrochlorothiazide,A-00193,Dyazide,Triamterene with hydrochlorothiazide,PHARMAC Initiated,Hospital listing,Decision,Triamterene with hydrochlorothiazide (Dyazide),/apptracker/s/application-public/a102P000008ptsO,Cardiovascular System
a0R2P000000MVhXUAW,Trichloroethane,A-00195,Dry Cleaner Ipw,Trichloroethane,PHARMAC Initiated,Hospital listing,Decision,Trichloroethane (Dry Cleaner Ipw),/apptracker/s/application-public/a102P000008ptxt,Extemporaneous Compounds
a0R2P000000MVhrUAG,Trifluoperazine hydrochloride oral liquid,A-00196,Stelazine,Trifluoperazine hydrochloride oral liquid,PHARMAC Initiated,Hospital listing,Decision,Trifluoperazine hydrochloride oral liquid (Stelazine),/apptracker/s/application-public/a102P000008puaW,Nervous System
a0R2P000000MR2XUAW,Trimipramine Maleate,A-01365,,Trimipramine Maleate,PHARMAC Initiated,Depression,Decision,Trimipramine Maleate,/apptracker/s/application-public/a102P000008ptpt,Nervous System
a0ROZ00000BHvwP2AT,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)",A-01045 A-03507,,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)","Pharmac Initiated, Clinician","Renal cell carcinoma (RCC), advanced or metastatic with a good prognosis",Decision,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)",/apptracker/s/application-public/a102P000008puY1,Oncology Agents and Immunosuppressants
a0R2P000000MTX6UAO,"um chloride and sodium chloride, inj 2.5% glucose 20 mmol KCl, NaCl 0.45%, 500ml",A-00017,,"Glucose with potassium chloride and sodium chloride, inj 2.5% glucose 20 mmol KCl, NaCl 0.45%, 500ml",PHARMAC Initiated,Hospital listing,Decision,"Glucose with potassium chloride and sodium chloride, inj 2.5% glucose 20 mmol KCl, NaCl 0.45%, 500ml",/apptracker/s/application-public/a102P000008puD7,Blood and Blood Forming Organs
a0R2P000000MVXDUA4,Urea 25% ointment,A-00197,,Urea 25% ointment,PHARMAC Initiated,Hospital listing,Decision,Urea 25% ointment,/apptracker/s/application-public/a102P000008puWb,Dermatologicals
a0R2P000000MVhwUAG,Urea with lactic acid,A-00198,,Urea with lactic acid,PHARMAC Initiated,Hospital listing,Decision,Urea with lactic acid,/apptracker/s/application-public/a102P000008pucl,Dermatologicals
a0R2P000000LmTeUAK,Ursodeoxycholic acid,A-01065,Actigall,Ursodeoxycholic acid,PHARMAC Initiated,"Hepatic complications, veno-occlusive disease - prevention, with high dose conditioning therapy",Decision,Ursodeoxycholic acid (Actigall),/apptracker/s/application-public/a102P000008puP5,Alimentary Tract and Metabolism
a0R2P000000LmaSUAS,Ursodeoxycholic acid,A-01223,Ursodiol,Ursodeoxycholic acid,PHARMAC Initiated,TPN-IC in children; Alagille syndrome; PFIC; chronic drug induced liver injury,Decision,Ursodeoxycholic acid (Ursodiol),/apptracker/s/application-public/a102P000008puYz,Alimentary Tract and Metabolism
a0R2P000000aneEUAQ,Ursodeoxycholic acid,A-01352,,Ursodeoxycholic acid,PHARMAC Initiated,Cystic fibrosis related liver disease,Decision,Ursodeoxycholic acid,/apptracker/s/application-public/a102P000008puUG,Alimentary Tract and Metabolism
a0R2P000000TipoUAC,Ursodeoxycholic acid,A-01351,,Ursodeoxycholic acid,PHARMAC Initiated,TPN-IC in adults; non-alcoholic steatohepatitis; prophylaxis of colon cancer in IBD,Decision,Ursodeoxycholic acid,/apptracker/s/application-public/a102P000008pug2,Alimentary Tract and Metabolism
a0R2P000000MVi1UAG,Ursodeoxycholic acid: oral liquid; and capsule 300 mg,A-00199,Actigall,Ursodeoxycholic acid: oral liquid; and capsule 300 mg,PHARMAC Initiated,Hospital listing,Decision,Ursodeoxycholic acid: oral liquid; and capsule 300 mg (Actigall),/apptracker/s/application-public/a102P000008pu3S,Alimentary Tract and Metabolism
a0R2P000000Lmj3UAC,Valaciclovir,A-00231,,Valaciclovir,PHARMAC Initiated,Removal of Special Authority,Decision,Valaciclovir,/apptracker/s/application-public/a102P000008pu5T,Infections - Agents for Systemic Use
a0R2P000000LmrkUAC,Valganciclovir,A-01060,,Valganciclovir,PHARMAC Initiated,Lung transplant - CMV prophylaxis,Decision,Valganciclovir,/apptracker/s/application-public/a102P000008puKK,Infections - Agents for Systemic Use
a0ROZ00000753qr2AA,Vardenafil,A-00200,Levitra,Vardenafil,Pharmac Initiated,Hospital listing,Decision,Vardenafil (Levitra),/apptracker/s/application-public/a102P000008pua5,Genito-Urinary System
a0ROZ000003H4YY2A0,Vedolizumab,A-04846,Entyvio,Vedolizumab,Pharmac Initiated,"Ulcerative colitis and Crohn's disease, secondary loss of response to vedolizumab (dose escalation)",Under Assessment,Vedolizumab (Entyvio),/apptracker/s/application-public/a10OZ00000162Ef,Alimentary Tract and Metabolism
a0ROZ000003H6KD2A0,Vedolizumab,A-04846,Entyvio,Vedolizumab,Pharmac Initiated,"Ulcerative colitis and Crohn's disease, primary non-response to vedolizumab (dose escalation)",Under Assessment,Vedolizumab (Entyvio),/apptracker/s/application-public/a10OZ000000EevF,Alimentary Tract and Metabolism
a0ROZ000000VUY52AO,Vernakalant,A-01334,,Vernakalant,PHARMAC Initiated,Atrial fibrillation,Decision,Vernakalant,/apptracker/s/application-public/a102P000008pu5e,Cardiovascular System
a0R2P000000MVhmUAG,Vindesine,A-00201,,Vindesine,PHARMAC Initiated,Hospital listing,Decision,Vindesine,/apptracker/s/application-public/a102P000008puGh,Oncology Agents and Immunosuppressants
a0R2P000000MUD9UAO,Vitamin E cream,A-00050,,Vitamin E cream,PHARMAC Initiated,Hospital listing,Decision,Vitamin E cream,/apptracker/s/application-public/a102P000008pu1Q,Dermatologicals
a0R2P000000N6iHUAS,Voriconazole,A-01022,,Voriconazole,PHARMAC Initiated,Invasive fungal infections,Decision,Voriconazole,/apptracker/s/application-public/a102P000008ptt5,Infections - Agents for Systemic Use
a0R2P000000MVhhUAG,Water injection 100 ml,A-00202,Baxter,Water injection 100 ml,PHARMAC Initiated,Hospital listing,Decision,Water injection 100 ml (Baxter),/apptracker/s/application-public/a102P000008pubV,Blood and Blood Forming Organs
a0R2P000000OcfEUAS,"Witch hazel, distilled liquid, topical",A-01366,,"Witch hazel, distilled liquid, topical",PHARMAC Initiated,Hospital listing,Decision,"Witch hazel, distilled liquid, topical",/apptracker/s/application-public/a102P000008ptoi,Dermatologicals
a0ROZ000004CQu52AG,Zanamivir,A-01326,Relenza Rotadisk,Zanamivir,Pharmac Initiated,Influenza (community listing),Decision,Zanamivir (Relenza Rotadisk),/apptracker/s/application-public/a102P000008puBC,Infections - Agents for Systemic Use
a0R2P000000LmhTUAS,Zanamivir,A-01343,,Zanamivir,PHARMAC Initiated,Influenza (hospital listing),Decision,Zanamivir,/apptracker/s/application-public/a102P000008puE2,Infections - Agents for Systemic Use
a0R2P000000OciXUAS,Zinc oxide suppositories,A-01364,,Zinc oxide suppositories,PHARMAC Initiated,Haemorrhoids,Decision,Zinc oxide suppositories,/apptracker/s/application-public/a102P000008puWs,Alimentary Tract and Metabolism
a0R2P000000MVXIUA4,Zinc oxide with glycerol,A-00203,,Zinc oxide with glycerol,PHARMAC Initiated,Hospital listing,Decision,Zinc oxide with glycerol,/apptracker/s/application-public/a102P000008puIY,Dermatologicals
a0R2P000000OUYIUA4,Zinc oxide with peru balsam,A-00204,,Zinc oxide with peru balsam,PHARMAC Initiated,Hospital listing,Decision,Zinc oxide with peru balsam,/apptracker/s/application-public/a102P000008ptrT,Alimentary Tract and Metabolism
a0R2P000000LmjBUAS,Zoledronic acid,A-01416,Zometa,Zoledronic acid,PHARMAC Initiated,"Bone metastases with severe pain or risk of skeletal events, and community listing",Decision,Zoledronic acid (Zometa),/apptracker/s/application-public/a102P000008puDu,Oncology Agents and Immunosuppressants
a0ROZ000000BZwv2AG,Zuclopenthixol hydrochloride,A-00834,,Zuclopenthixol hydrochloride,PHARMAC Initiated,Schizophrenia and related psychoses,Decision,Zuclopenthixol hydrochloride,/apptracker/s/application-public/a102P000008ptpv,Nervous System
a0ROZ000009J4Fd2AK,Aprepitant,A-03563,Emend,Aprepitant,Clinician,Nausea and vomiting associated with moderately emetogenic chemotherapy,Decision,Aprepitant (Emend),/apptracker/s/application-public/a102P00000BOI2z,Nervous System
a0R2P000000LmVDUA0,Aprepitant,A-00421,Emend,Aprepitant,Merck Sharp & Dohme,Nausea associated with emetogenic chemotherapy,Decision,Aprepitant (Emend),/apptracker/s/application-public/a102P000008ptyq,Nervous System
a0ROZ000009J4HF2A0,Aprepitant,A-03563,Emend,Aprepitant,Clinician,"Nausea and vomiting, carboplatin-based chemotherapy, widen access",Decision,Aprepitant (Emend),/apptracker/s/application-public/a102P00000AmySz,Oncology Agents and Immunosuppressants
a0ROZ000009J4fR2AS,Atezolizumab,A-00746,,Atezolizumab,Roche,Advanced NSCLC 1L combination therapy with platinum chemotherapy,Decision,Atezolizumab,/apptracker/s/application-public/a102P000008puFH,Oncology Agents and Immunosuppressants
a0ROZ000009A8qf2AC,Atezolizumab (with chemotherapy),A-03769,Tecentriq,Atezolizumab (with chemotherapy),ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Extensive-stage small cell lung cancer (ES-SCLC), first-line",Options Compared,Atezolizumab (with chemotherapy) (Tecentriq),/apptracker/s/application-public/a102P00000B08F7,Oncology Agents and Immunosuppressants
a0ROZ000009A8qd2AC,Atezolizumab (with chemotherapy),A-03352,Tecentriq,Atezolizumab (with chemotherapy),ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Triple-negative breast cancer (TNBC), advanced or metastatic, PDL1 expression over 1%",Options Compared,Atezolizumab (with chemotherapy) (Tecentriq),/apptracker/s/application-public/a102P00000ANEYB,Oncology Agents and Immunosuppressants
a0R2P000000LmhCUAS,Bortezomib,A-00945,Velcade,Bortezomib,Janssen,"Multiple myeloma - newly diagnosed, ineligible for high dose chemotherapy",Decision,Bortezomib (Velcade),/apptracker/s/application-public/a102P000008pu5X,Oncology Agents and Immunosuppressants
a0ROZ00000BQW9B2AX,Calcium phosphate oral rinse,A-01277 A-01278,Caphasol,Calcium phosphate oral rinse,"NPPA, Clinician",Oral mucositis following chemotherapy or radiation therapy,Decision,Calcium phosphate oral rinse (Caphasol),/apptracker/s/application-public/a102P000008pu4H,Alimentary Tract and Metabolism
a0R2P000000Sk5IUAS,Dexrazoxane,A-00580,,Dexrazoxane,Clinician,Cardioprotection in conjunction with anthracycline chemotherapy in children and young adults,Decision,Dexrazoxane,/apptracker/s/application-public/a102P000008puDD,Oncology Agents and Immunosuppressants
a0R2P000000TEx2UAG,Dexrazoxane,A-01327,,Dexrazoxane,Clinician,Cardioprotection with chemotherapy in paediatric patients participating in a randomised clinical trial,Decision,Dexrazoxane,/apptracker/s/application-public/a102P000008puc3,Oncology Agents and Immunosuppressants
a0ROZ000008vbhN2AQ,Durvalumab,A-05338,IMFINZI®,Durvalumab,ASTRAZENECA LIMITED,"Muscle invasive bladder cancer (MIBC), neoadjuvant and adjuvant, first-line (with neoadjuvant chemotherapy)",Seeking Clinical Advice,Durvalumab (IMFINZI®),/apptracker/s/application-public/a10OZ000004RGft,Oncology Agents and Immunosuppressants
a0ROZ000002jRkT2AU,Durvalumab,A-04551,Imfinzi,Durvalumab,ASTRAZENECA LIMITED,"biliary tract cancer, Locally advanced or metastatic, in combination with chemotherapy",Options Compared,Durvalumab (Imfinzi),/apptracker/s/application-public/a102P00000Bajp3,Oncology Agents and Immunosuppressants
a0ROZ00000DXjTV2A1,Eribulin,A-04168,Halaven,Eribulin,Consumer,Locally advanced or metastatic breast cancer (following progression on chemotherapy),Seeking Clinical Advice,Eribulin (Halaven),/apptracker/s/application-public/a102P00000BVRE2,Oncology Agents and Immunosuppressants
a0ROZ000001H37N2AS,Eribulin,A-04168,Halaven,Eribulin,Consumer,Advanced liposarcoma (following chemotherapy),Seeking Clinical Advice,Eribulin (Halaven),/apptracker/s/application-public/a102P00000BVRxj,Oncology Agents and Immunosuppressants
a0ROZ000009wWS92AM,Nab-paclitaxel,A-01009,Abraxane,Nab-paclitaxel,Specialised Therapeutics Ltd,"Metastatic breast cancer, contraindicated or intolerant to taxane chemotherapy",Options Compared,Nab-paclitaxel (Abraxane),/apptracker/s/application-public/a102P00000BQdRd,
a0ROZ00000AQkoA2AT,Nab-paclitaxel,A-04802,,Nab-paclitaxel,Clinician,"Any cancer, contraindicated or intolerant to taxane chemotherapy",Options Compared,Nab-paclitaxel,/apptracker/s/application-public/a10OZ0000001REH,Oncology Agents and Immunosuppressants
a0ROZ000004u6hx2AA,Nivolumab,A-05059,Opdivo,Nivolumab,BRISTOL-MYERS SQUIBB (NZ) LIMITED,"head and neck squamous cell cancer, recurrent or metastatic, progressed within 6 months of platinum-based chemotherapy",Seeking Clinical Advice,Nivolumab (Opdivo),/apptracker/s/application-public/a10OZ000002EQxZ,
a0ROZ00000BP6Bx2AL,Nivolumab,A-05227,OPDIVO,Nivolumab,Consumer,"Unresectable or metastatic urothelial carcinoma, first line, with cisplatin chemotherapy",Seeking Clinical Advice,Nivolumab (OPDIVO),/apptracker/s/application-public/a10OZ0000038WPB,
a0ROZ00000ApJsX2AV,Nivolumab (with chemotherapy),A-05298,Opdivo®,Nivolumab (with chemotherapy),BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Oesophageal adenocarcinoma and gastric/gastro-oesophageal junction cancers, advanced/metastatic, 1st line",Seeking Clinical Advice,Nivolumab (with chemotherapy) (Opdivo®),/apptracker/s/application-public/a10OZ000004a5zl,Oncology Agents and Immunosuppressants
a0ROZ00000ApJsY2AV,Nivolumab (with chemotherapy),A-05298,Opdivo®,Nivolumab (with chemotherapy),BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Oesophageal squamous cell carcinoma, advanced, 1st line",Seeking Clinical Advice,Nivolumab (with chemotherapy) (Opdivo®),/apptracker/s/application-public/a10OZ000004a7of,Oncology Agents and Immunosuppressants
a0ROZ00000BTW9U2AX,Nivolumab (with chemotherapy),A-05276,Opdivo®,Nivolumab (with chemotherapy),BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Non-small cell lung cancer (NSCLC), stage IB, II, or IIIA, resectable",Seeking Clinical Advice,Nivolumab (with chemotherapy) (Opdivo®),/apptracker/s/application-public/a10OZ000004ZpDR,Oncology Agents and Immunosuppressants
a0ROZ000009J4xB2AS,Nivolumab (with ipilimumab and platinum-based chemotherapy),A-04403,"OPDIVO, YERVOY",Nivolumab (with ipilimumab and platinum-based chemotherapy),BRISTOL-MYERS SQUIBB (NZ) LIMITED,"Advanced non-small cell lung cancer, 1st line combination therapy, irrespective of PDL-1 status",Decision,"Nivolumab (with ipilimumab and platinum-based chemotherapy) (OPDIVO, YERVOY)",/apptracker/s/application-public/a102P00000BUI9R,
a0ROZ000008gKFR2A2,olaparib,A-04698 A-05127 A-05260,Lynparza,olaparib,"ASTRAZENECA LIMITED, Clinician, Consumer","BRCAm HER2-negative breast cancer, early high risk after neoadjuvant/adjuvant chemotherapy",Seeking Clinical Advice,olaparib (Lynparza),/apptracker/s/application-public/a10OZ000001vDnx,
a0R2P000000LmYuUAK,Ondansetron,A-01533,,Ondansetron,Clinician,Nausea with radiation and/or chemotherapy - removal of dispensing limit,Decision,Ondansetron,/apptracker/s/application-public/a102P000008puWp,Nervous System
a0R2P000000andpUAA,Pazopanib,A-00596,,Pazopanib,Clinician,Advanced soft tissue sarcoma after prior chemotherapy,Decision,Pazopanib,/apptracker/s/application-public/a102P000008puNy,Oncology Agents and Immunosuppressants
a0R2P000000Lme6UAC,Pegfilgrastim,A-01350,,Pegfilgrastim,Roche,Prevention of neutropenia in patients undergoing high risk chemotherapy for cancer,Decision,Pegfilgrastim,/apptracker/s/application-public/a102P000008ptuB,Blood and Blood Forming Organs
a0ROZ00000Cn1xB2AR,pembrolizumab,A-04736,Keytruda,pembrolizumab,Clinician,"First line persistent, recurrent or metastatic cervical cancer in addition to chemotherapy, for patients with a PD-L1 combined positive score of 1 or more, with bevacizumab",Options Compared,pembrolizumab (Keytruda),/apptracker/s/application-public/a10OZ000001jcQL,Oncology Agents and Immunosuppressants
a0R2P000000fjrYUAQ,Pembrolizumab,A-00712,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Non small cell lung cancer, metastatic,  with chemotherapy, 1st line",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008puL2,Oncology Agents and Immunosuppressants
a0ROZ00000AQko02AD,Pembrolizumab,A-03035,KEYTRUDA (for HNSCC),Pembrolizumab,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,Pembrolizumab in combination with chemotherapy for those with recurrent or metastatic head and neck squamous cell carcinoma irrespective of Combined Positive Score (ie. an all-comers population),Options Compared,Pembrolizumab (KEYTRUDA (for HNSCC)),/apptracker/s/application-public/a102P00000BQMFj,
a0R2P000000ZwaFUAS,Pembrolizumab,A-03934,KEYTRUDA,Pembrolizumab,Clinician,"Classical Hodgkin lymphoma, relapsed or refractory to a second or subsequent line of chemotherapy, or that has relapsed after at least three lines of therapy (bridge to transplant)",Decision,Pembrolizumab (KEYTRUDA),/apptracker/s/application-public/a102P00000BKugI,Oncology Agents and Immunosuppressants
a0ROZ00000BQVxt2AH,Pembrolizumab,A-00615,Keytruda,Pembrolizumab,Merck Sharp & Dohme,"Hodgkin's lymphoma, relapsed or refractory after two or more lines of chemotherapy,  ineligible for or relapsed following an autologous stem cell transplant",Decision,Pembrolizumab (Keytruda),/apptracker/s/application-public/a102P000008pu3x,Oncology Agents and Immunosuppressants
a0ROZ0000077hiZ2AQ,Pembrolizumab,A-04736 A-04982,Keytruda,Pembrolizumab,"MERCK SHARP & DOHME (NEW ZEALAND) LIMITED, Clinician","First line persistent, recurrent or metastatic cervical cancer in addition to chemotherapy, for patients with a PD-L1 combined positive score of 1 or more.",Under Assessment,Pembrolizumab (Keytruda),/apptracker/s/application-public/a10OZ00000010ij,Oncology Agents and Immunosuppressants
a0ROZ000004obGc2AI,Pembrolizumab (with chemotherapy),A-03035,KEYTRUDA,Pembrolizumab (with chemotherapy),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Head and neck squamous cell carcinoma (HNSCC), Combined Positive Score (CPS) >1, first-line",Decision,Pembrolizumab (with chemotherapy) (KEYTRUDA),/apptracker/s/application-public/a102P00000AHK7u,Oncology Agents and Immunosuppressants
a0ROZ000004ocXd2AI,Pembrolizumab (with or without chemotherapy),A-03035,KEYTRUDA (for HNSCC),Pembrolizumab (with or without chemotherapy),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Head and neck squamous cell carcinoma (HNSCC), Combined Positive Score (CPS) >1, 1st line",Decision,Pembrolizumab (with or without chemotherapy) (KEYTRUDA (for HNSCC)),/apptracker/s/application-public/a102P00000BQmYU,Oncology Agents and Immunosuppressants
a0ROZ00000DaaS52AJ,Pembrolizumab (with pemetrexed and chemotherapy),A-05379,KEYTRUDA,Pembrolizumab (with pemetrexed and chemotherapy),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Malignant pleural mesothelioma, all histological subtypes, unresectable advanced, 1st line",Seeking Clinical Advice,Pembrolizumab (with pemetrexed and chemotherapy) (KEYTRUDA),/apptracker/s/application-public/a10OZ000006KWoH,
a0ROZ00000DabJJ2AZ,Pembrolizumab (with pemetrexed and chemotherapy),A-05379,KEYTRUDA,Pembrolizumab (with pemetrexed and chemotherapy),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,"Malignant pleural mesothelioma, non-epithelioid histological subtypes, unresectable advanced, 1st line",Under Assessment,Pembrolizumab (with pemetrexed and chemotherapy) (KEYTRUDA),/apptracker/s/application-public/a10OZ000004iMLt,Oncology Agents and Immunosuppressants
a0ROZ00000AsPWj2AN,Pertuzumab and trastuzumab,A-04334,PHESGO,Pertuzumab and trastuzumab,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,Adjuvant treatment of individuals with HER2-positive early breast cancer at high risk of recurrence in combination with chemotherapy,Seeking Clinical Advice,Pertuzumab and trastuzumab (PHESGO),/apptracker/s/application-public/a102P00000BZPBQ,Oncology Agents and Immunosuppressants
a0ROZ000009J50P2AS,Tislelizumab (with platinum-based chemotherapy),A-04346,Tevimbra,Tislelizumab (with platinum-based chemotherapy),BEIGENE NZ UNLIMITED,"Advanced non-small cell lung cancer, 1st line combination therapy, irrespective of PDL-1 status",Decision,Tislelizumab (with platinum-based chemotherapy) (Tevimbra),/apptracker/s/application-public/a102P00000BTxb5,
a0ROZ000008BWpZ2AW,Venetoclax (w current access azacitidine or low dose cytarabine),A-03627,Venclexta,Venetoclax (w current access azacitidine or low dose cytarabine),ABBVIE LIMITED,"AML, newly diagnosed,  ineligible for intensive chemotherapy",Decision,Venetoclax (w current access azacitidine or low dose cytarabine) (Venclexta),/apptracker/s/application-public/a102P00000AmyhI,Oncology Agents and Immunosuppressants
a0ROZ000008BV5X2AW,Venetoclax (with widened access to azacitidine),A-03627,Venclexta,Venetoclax (with widened access to azacitidine),ABBVIE LIMITED,"Acute myeloid leukaemia, newly diagnosed, ineligible for intensive induction chemotherapy",Decision,Venetoclax (with widened access to azacitidine) (Venclexta),/apptracker/s/application-public/a102P00000BIsBP,Oncology Agents and Immunosuppressants
a0R2P000000LmTdUAK,Teriflunomide,A-00295,,Teriflunomide,Sanofi,Multiple sclerosis (MS),Decision,Teriflunomide,/apptracker/s/application-public/a102P000008puP4,Nervous System
a0ROZ000000W2WY2A0,"Amifampridine (3,4-diaminopyridine)",A-01403,,"Amifampridine (3,4-diaminopyridine)",NPPA,Lambert Eaton Myasthenic Syndrome,Decision,"Amifampridine (3,4-diaminopyridine)",/apptracker/s/application-public/a102P000008puXm,Nervous System
a0R2P000000LmhjUAC,Amisulpride,A-00433,Solian,Amisulpride,Sanofi-Aventis,Schizophrenia and related psychoses,Decision,Amisulpride (Solian),/apptracker/s/application-public/a102P000008puEI,Nervous System
a0R2P000000anaWUAQ,"an, frovatriptan, naratriptan, rizatriptan, sumatriptan succinate, zolmitrioptan",A-01442,,"Triptans - almotriptan, avitriptan, eletriptan, frovatriptan, naratriptan, rizatriptan, sumatriptan succinate, zolmitrioptan",Clinician,Listing of additional triptans,Decision,"Triptans - almotriptan, avitriptan, eletriptan, frovatriptan, naratriptan, rizatriptan, sumatriptan succinate, zolmitrioptan",/apptracker/s/application-public/a102P000008puH3,Nervous System
a0ROZ00000ChnPx2AJ,Aprepitant 40 mg,A-00207 A-04819,,Aprepitant 40 mg,Clinician,People at high risk of post-operative nausea and vomiting,Seeking Clinical Advice,Aprepitant 40 mg,/apptracker/s/application-public/a102P000008ptty,Nervous System
a0R2P000000LmkyUAC,Aripiprazole,A-00302,Abilify,Aripiprazole,Clinician,Severe irritability associated with autism spectrum disorder,Decision,Aripiprazole (Abilify),/apptracker/s/application-public/a102P000008puif,Nervous System
a0R2P000000LmZPUA0,Aripiprazole,A-00413,Abilify,Aripiprazole,Bristol-Myers Squibb,Schizophrenia,Decision,Aripiprazole (Abilify),/apptracker/s/application-public/a102P000008puW5,Nervous System
a0ROZ000004u9Kr2AI,Aripiprazole long acting injection,A-00411,,Aripiprazole long acting injection,Lundbeck,"People with or at high risk of metabolic syndrome or other serious side effects from currently funded atypical antipsychotic depot injections, or for people with schizophrenia with adherence challenges to oral atypical antipsychotics",Decision,Aripiprazole long acting injection,/apptracker/s/application-public/a102P000008puBE,Nervous System
a0R2P000000OcgWUAS,Asenapine,A-01253,Saphris,Asenapine,Lundbeck,Bipolar 1 disorder or schizophrenia,Decision,Asenapine (Saphris),/apptracker/s/application-public/a102P000008pu40,Nervous System
a0ROZ00000BGaUL2A1,Atogepant,A-04773,AQUIPTA,Atogepant,ABBVIE LIMITED,Chronic migraine prevention,Options Compared,Atogepant (AQUIPTA),/apptracker/s/application-public/a10OZ00000019Fl,Nervous System
a0R2P000000LmliUAC,Atomoxetine,A-00334,Strattera,Atomoxetine,Eli Lilly,2nd line ADHD   (methylphenidate intolerant patients),Decision,Atomoxetine (Strattera),/apptracker/s/application-public/a102P000008puj2,Nervous System
a0R2P000000LmrJUAS,Atomoxetine,A-01301,,Atomoxetine,Clinician,ADHD: first line for patients at significant risk of psychosis on methylphenidate or dexamphetamine,Decision,Atomoxetine,/apptracker/s/application-public/a102P000008puIx,Nervous System
a0R2P000000LmTvUAK,Atomoxetine,A-00865,Strattera,Atomoxetine,Clinician,ADHD (Attention Deficit Hyperactivity Disorder) - First-line and/or in combination with a stimulant,Decision,Atomoxetine (Strattera),/apptracker/s/application-public/a102P000008puLc,Nervous System
a0R2P000000NyAxUAK,"Benzocaine 18%, tetracaine hydrochloride 2% (Zap gel) topical anaesthetic",A-00758,Zap gel,"Benzocaine 18%, tetracaine hydrochloride 2% (Zap gel) topical anaesthetic",Clinician,topical anaesthetic for dental use,Decision,"Benzocaine 18%, tetracaine hydrochloride 2% (Zap gel) topical anaesthetic (Zap gel)",/apptracker/s/application-public/a102P000008ptuF,Nervous System
a0ROZ0000084s6r2AA,Buprenorphine injection (Buvidal),A-03883,Buvidal Weekly & Buvidal Monthly,Buprenorphine injection (Buvidal),Camurus AB,"Opioid dependence, maintenance treatment",Options Compared,Buprenorphine injection (Buvidal) (Buvidal Weekly & Buvidal Monthly),/apptracker/s/application-public/a102P00000BHRv4,Nervous System
