Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c,Application Received date,Last Update date,Days elapsed between application and last update,Days until Seeking Clinical Advice,Days until Under Assessment,Days until Options Compared,Days until Under Consultation,Days until Reviewing Consultation Feedback,Days until Decision,Application Received dates,Seeking Clinical Advice dates,Under Assessment dates,Options Compared dates,Under Consultation dates,Reviewing Consultation Feedback dates,Decision dates,Outcome__c,Summary__c,FDA_ApprovalDate,TGA_ApprovalDate,MedSafe_ApprovalDate
a0R2P000000MwSCUA0,"Clotrimazole hydrochloride, vaginal cream 10% and pessaries",A-01477,,"Clotrimazole hydrochloride, vaginal cream 10% and pessaries",PHARMAC Initiated,Hospital listing,Decision,"Clotrimazole hydrochloride, vaginal cream 10% and pessaries",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptqf,Genito-Urinary System,2011-01-01 00:00:00,2013-03-19 00:00:00,808,181,397,0,31,30,151,2011-01-01:Application received,"2011-07-05:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.
2020-08-25:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that clotrimazole 10% vaginal cream is not in wide use in DHB hospitals and is not subsidised in the Pharmaceutical Schedule. The Subcommittee recommended that it not be included in a national PML.&#39;    &#39;The Subcommittee noted that clotrimazole pessaries are not subsidised in the Pharmaceutical Schedule, although have previously been subsidised. The Subcommittee recommended that these not be included in a national PML unless they were re-listed in the Pharmaceutical Schedule.&#39;    Clotrimazole cream 1%, vaginal cream 1% with applicator, and vaginal cream 2% with applicator were recommended instead.",1975-02-03,1991-09-09,1975-03-06
a0R2P000000MR2IUAW,"Coal tar with allantoin, menthol, phenol and sulphur",A-01480,,"Coal tar with allantoin, menthol, phenol and sulphur",PHARMAC Initiated,Hospital listing,Decision,"Coal tar with allantoin, menthol, phenol and sulphur",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puCc,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,397,0,0,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),,,1991-10-25,1962-01-01
a0R2P000000MVh8UAG,Tamsulosin long-acting tablet,A-00181,Flomaxtra,Tamsulosin long-acting tablet,PHARMAC Initiated,Hospital listing,Decision,Tamsulosin long-acting tablet (Flomaxtra),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puke,Genito-Urinary System,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,397,0,0,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee noted that tamsulosin tab long-acting 400 mcg is not subsidised in the Pharmaceutical Schedule and, as it does not have a niche use in hospitals, recommended that it not be included in a national PML. A 400 mcg capsule form was recommended instead.; The consultation document proposed that this formulation of tamsulosin not be listed in Section H at this time, but did propose listing a different formulation, and noted that this would not prevent it from being considered for inclusion at a later date.",1997-04-15,2006-01-18,2006-05-25
a0R2P000000MVWtUAO,"Rocuronium bromide inj 10 mg per ml, 10 ml vial",A-00166,Esmeron,"Rocuronium bromide inj 10 mg per ml, 10 ml vial",PHARMAC Initiated,Hospital listing,Decision,"Rocuronium bromide inj 10 mg per ml, 10 ml vial (Esmeron)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puJY,Musculoskeletal System,2011-01-01 00:00:00,2013-04-24 00:00:00,844,243,427,0,0,30,121,2011-01-01:Application received,"2011-09-06:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 6 September 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that rocuronium bromide (inj 10 mg per ml, 10 ml vial) is not widely used in DHB hospitals and considered that it did not need to be included in a national PML.&#39;; The consultation document proposed that this formulation of rocuronium not be listed in Section H at this time, but did propose listing other formulations, and noted that this would not prevent it from being considered for inclusion at a later date.",1994-03-17,2010-08-25,1994-09-08
a0R2P000000MVWjUAO,Ropinirole - tablet products containing multiple strengths,A-00167,Requip,Ropinirole - tablet products containing multiple strengths,PHARMAC Initiated,Hospital listing,Decision,Ropinirole - tablet products containing multiple strengths (Requip),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptx1,Nervous System,2011-01-01 00:00:00,2013-04-24 00:00:00,844,304,366,0,0,30,121,2011-01-01:Application received,"2011-11-01:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 1 November 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that starter packs (42 x tab 0.25 mg, 42 x tab 0.5 mg and 21 x tab 1 mg) and follow-on packs (42 x tab 0.5 mg, 21 x tab 1 mg and 63 x tab 2 mg) of ropinirole hydrochloride had previously been delisted from the Pharmaceutical Schedule, and considered that these did not need to be included in a national PML.&#39;; The consultation document proposed that these formulations of ropinirole not be listed in Section H at this time, but did propose listing other formulations, and noted that this would not prevent them from being considered for inclusion at a later date.",1997-09-19,,1998-04-02
a0R2P000000MwS2UAK,Rose bengal sodium eye drops,A-00168,Minims,Rose bengal sodium eye drops,PHARMAC Initiated,Hospital listing,Decision,Rose bengal sodium eye drops (Minims),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puWc,Sensory Organs,2011-01-01 00:00:00,2013-03-19 00:00:00,808,181,397,0,31,30,151,2011-01-01:Application received,"2011-07-05:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.
2020-08-25:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that rose bengal 1% single dose eye drops are not used in DHB hospitals and are not subsidised in the Pharmaceutical Schedule, and recommended that they not be included in a national PML. The Subcommittee requested the view of the Ophthalmology Subcommittee on the inclusion of both 1% and 2% eye drops.&#39;; The consultation document proposed that this formulation of rose bengal not be listed in Section H at this time, but did propose listing rose bengal sodium 1% ophthalmic strips, and noted that this would not prevent it from being considered for inclusion at a later date.",1946-01-17,1991-10-30,1973-03-01
a0R2P000000MVWoUAO,Salicylic Acid 16.7% with Lactic Acid 16.7%,A-00170,,Salicylic Acid 16.7% with Lactic Acid 16.7%,PHARMAC Initiated,Hospital listing,Decision,Salicylic Acid 16.7% with Lactic Acid 16.7%,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puTj,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,397,0,0,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-05-15:Clinical advice received from Dermatology Subcommittee at meeting Tuesday 15 May 2012.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Recommended for funding with no priority; Not recommended for inclusion (HML),"The Subcommittee noted that salicylic acid with lactic acid (liq 16.7% with lactic acid 16.7%) is not subsidised in the Pharmaceutical Schedule and, as it does not have a niche use in hospitals, recommended that it not be included in a national PML.; &#39;The Subcommittee recommended that salicylic acid 16.7% with lactic acid 16.7% be included in a national PML, but noted this would be a community lead listing. Members noted that this may reduce the use of imiquimod.&#39;; The consultation document proposed that salicylic acid with lactic acid not be listed in Section H at this time, but noted that this would not prevent it from being considered for inclusion at a later date.",1975-08-12,1991-08-02,1966-07-22
a0ROZ000000VX1J2AW,Coal tar shampoo 4%,A-01479,,Coal tar shampoo 4%,PHARMAC Initiated,Psoriasis,Decision,Coal tar shampoo 4%,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu8q,Dermatologicals,2011-01-01 00:00:00,2023-11-07 00:00:00,4693,273,213,4078,-3894,0,4017,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2011-10-04:Clinical advice required
2012-05-15:Clinical advice received from Dermatology Subcommittee at meeting Tuesday 15 May 2012.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.
2013-12-09:Clinical advice received from Dermatology Subcommittee at meeting Monday 9 December 2013.
2014-05-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 May 2014.
2015-11-30:Clinical advice received from Dermatology Subcommittee at meeting Monday 30 November 2015.
2016-05-05:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 5 May 2016.
2017-10-20:Clinical advice received from Dermatology Subcommittee at meeting Friday 20 October 2017.
2018-12-19:We have been unable to find a supplier for this product.","2012-05-15:Working to compare options
2023-07-05:Working to compare options",2023-07-06:The relative ranking of the pharmaceutical application has been completed.,"2012-11-19:Public consultation for this application is active.
2023-08-01:Public consultation for this application is active.","2012-11-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.
2023-09-02:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.",2023-11-07:The funding application has been declined.,Deferred; Low; Low; Low; Low; Medium; Medium; No Formal Recommendation,"&#39;The Subcommittee considered that further advice was needed before making a recommendation on the listing of coal tar shampoo in a national PML. The Subcommittee recommended that the view of dermatologists be sought on the need for this in a national PML.&#39;; Considered that listing coal tar shampoo should be a community-led decision. Members considered the product beneficial for certain conditions, and recommended listing this product with a low priority.; At its Oct 2017 meeting, the Subcommittee noted its 2015 recommendation to list a coal tar 4% shampoo. The Subcommittee confirmed that there is still a clinical need for a topical product containing coal tar of any strength and that alternative formulations would be appropriate, such as a foam or mousse if shampoo isn&#39;t obtainable.; <p>We are proposing to decline this application as we understand there is currently no Medsafe approved product available in New Zealand. We are not aware of any supplier willing to pursue Medsafe registration. </p>; Proposes not to include coal tar shampoo on the HML at this time, but notes that this &#39;would not prevent them from being considered for inclusion at a later date.&#39;",,1991-10-25,1969-12-31
a0R2P000000MUDOUA4,Isotretinoin gel,A-00053,Isotrex,Isotretinoin gel,PHARMAC Initiated,Hospital listing,Decision,Isotretinoin gel (Isotrex),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptuf,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,,,397,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",,,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee recommended that, as isotretinoin 0.05% gel is not subsidised in the Pharmaceutical Schedule and as it does not have a niche use in hospitals, it not be included in a national PML.&#39;; The consultation proposed not to list isotretinoin gel at this time, but did propsed to list isotretinoin capsules.",1982-05-07,1994-12-13,1993-07-29
a0R2P000000MUDdUAO,Ivermectin tablet 6 mg,A-00054,,Ivermectin tablet 6 mg,PHARMAC Initiated,Hospital listing,Decision,Ivermectin tablet 6 mg,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptpZ,Infections - Agents for Systemic Use,2011-01-01 00:00:00,2013-03-19 00:00:00,808,151,,,458,30,151,2011-01-01:Application received,"2011-06-07:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 7 June 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.",,,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee recommended listing ivermectin 3 mg tablets, but &#39;considered that, as ivermectin 6 mg tablets are not subsidised in the Pharmaceutical Schedule, and as they do not have a niche use within hospitals, they should not be included in a national PML.&#39;; The consultation proposed not to include ivermecting 6 mg tablets, but did propose to include 3 mg tablets.",1996-11-22,2011-05-13,2005-08-18
a0R2P000000MVWeUAO,Salicylic acid gel,A-00169,Duofilm,Salicylic acid gel,PHARMAC Initiated,Hospital listing,Decision,Salicylic acid gel (Duofilm),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puVG,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,397,0,0,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee noted that salicylic acid gel 27% is not subsidised in the Pharmaceutical Schedule and, as its does not have a niche use in hospitals, recommended that it not be included in a national PML.; The consultation document proposed that salicylic acid gel not be listed in Section H at this time, but noted that this would not prevent it from being considered for inclusion at a later date.",1975-08-12,1991-09-12,1986-06-05
a0R2P000000MwSOUA0,"Sodium hyaluronate, inj 16 mg per ml",A-00176,Healon Endocoat,"Sodium hyaluronate, inj 16 mg per ml",PHARMAC Initiated,Hospital listing,Decision,"Sodium hyaluronate, inj 16 mg per ml (Healon Endocoat)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu0e,Sensory Organs,2011-01-01 00:00:00,2013-03-19 00:00:00,808,181,397,0,31,30,151,2011-01-01:Application received,"2011-07-05:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.
2020-08-25:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that sodium hyaluronate inj 16 mg per ml (0.25 ml, 0.5 ml and 0.8 ml) was not a widely used presentation of this agent, and recommended that it not be included in a national PML.&#39; Various other strengths of sodium hyaluronate were recommended instead.; The consultation document proposed that this formulation of sodium hyaluronate not be listed in Section H at this time, but did propose listing other formulations, and noted that this would not prevent it from being considered for inclusion at a later date.",1939-02-09,2012-06-28,
a0R2P000000MWAyUAO,"Retinol capsule 9,000 iu",A-00165,,"Retinol capsule 9,000 iu",PHARMAC Initiated,Hospital listing,Decision,"Retinol capsule 9,000 iu",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puKN,Alimentary Tract and Metabolism,2011-01-01 00:00:00,2013-05-16 00:00:00,866,334,428,0,0,28,61,2011-01-01:Application received,"2011-12-06:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 6 December 2011.
2013-02-14:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 14 February 2013.",2013-02-15:Working to compare options,2013-02-18:The relative ranking of the pharmaceutical application has been completed.,2013-02-25:Public consultation for this application is active.,2013-03-28:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-05-16:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee considered that it would not be necessary to list the 9,000 iu capsules, given the availability of 10,000 iu tablets, 25,000 iu capsules and 150,000 iu per ml, 7.5 ml injections.; Retinol 9,000 iu was not included in the first edition of the HML. This does not prevent applications for retinol being considered in the future.; The consultation document proposed that this formulation of retinol not be listed in Section H at this time, but did propose listing other formulations, and noted that this would not prevent it from being considered for inclusion at a later date.",,2021-01-15,1965-10-29
a0R2P000000MTbwUAG,Hydroxyethyl starch 200/0.5,A-00031,"Starquin 10%,Starquin 200 6%",Hydroxyethyl starch 200/0.5,PHARMAC Initiated,Hospital listing,Decision,"Hydroxyethyl starch 200/0.5 (Starquin 10%,Starquin 200 6%)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puYH,Blood and Blood Forming Organs,2011-01-01 00:00:00,2013-05-16 00:00:00,866,334,428,0,0,28,61,2011-01-01:Application received,"2011-12-06:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 6 December 2011.
2012-12-11:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 11 December 2012.
2013-02-14:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 14 February 2013.",2013-02-15:Working to compare options,2013-02-18:The relative ranking of the pharmaceutical application has been completed.,2013-02-25:Public consultation for this application is active.,2013-03-28:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-05-16:The funding application has been declined.,Deferred; Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee considered that further advice was required before making a recommendation on the listing of hydroxyethyl starch 200/0.5 in a national PML. The Subcommittee requested that the view of anaesthetists and intensivists be sought on the need for this in a national PML, and the benefits of it over hydroxyethyl starch 130/0.4.&#39;; &#39;The Subcommittee noted feedback suggesting that hydroxyethyl starch 200/0.5 be excluded from a national PML. The Subcommittee recommended that it not be included.&#39;",,1991-05-23,
a0R2P000000MR1jUAG,Arnica cream,A-01429,,Arnica cream,PHARMAC Initiated,Hospital listing,Decision,Arnica cream,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pubU,Musculoskeletal System,2011-01-01 00:00:00,2013-01-29 00:00:00,759,120,,,458,31,122,2011-01-01:Application received,"2011-05-03:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 3 May 2011.
2011-10-14:Clinical advice received from Rheumatology Subcommittee at meeting Friday 14 October 2011.
2012-05-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 May 2012.",,,2012-08-03:Public consultation for this application is active.,2012-09-07:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-01-29:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee noted that arnica cream was not used widely in DHB hospitals, and that it is not subsidised in the Pharmaceutical Schedule. Members considered that there was limited evidence of benefit from arnica, and that it should not be included in the Hospital Medicines List.; &#39;The Subcommittee agreed with the view of PHARMAC staff that evidence in support of the use of topical rubefacients in the relief of acute and chronic musculoskeletal pain appears to be lacking.  The Subcommittee considered that there was no compelling reason for PHARMAC staff to further investigate this class of agents at this time.&#39;; This consultation document proposes not to list arnica in Section H at this time, though this would not prevent it from being considered for inclusion at a later date.",,1998-11-11,1969-12-31
a0R2P000000MQtFUAW,Cetomacrogol with paraffin and cetyl alcohol,A-01468,,Cetomacrogol with paraffin and cetyl alcohol,PHARMAC Initiated,Hospital listing,Decision,Cetomacrogol with paraffin and cetyl alcohol,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptwL,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,397,0,0,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.",2012-11-09:Working to compare options,2012-11-12:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that [cetomacrogol with paraffin and cetyl alcohol is] not subsidised in the Pharmaceutical Schedule and, as [it does] not have a niche use in hospitals, recommended that [it] not be included in a national PML&#39;.",1953-12-04,1991-10-15,1967-06-06
a0R2P000000MVh3UAG,Sterculia,A-00180,,Sterculia,PHARMAC Initiated,Hospital listing,Decision,Sterculia,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptsW,Alimentary Tract and Metabolism,2011-01-01 00:00:00,2013-03-19 00:00:00,808,212,366,0,31,30,151,2011-01-01:Application received,"2011-08-02:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 2 August 2011.
2012-04-13:Clinical advice received from Gastrointestinal Subcommittee at meeting Friday 13 April 2012.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Recommended for funding with no priority; Not recommended for inclusion (HML),"&#39;The Subcommittee noted that there was little use of sterculia in DHB hospitals and that it was not subsidised in the Pharmaceutical Schedule, and considered that it did not need to be included in a national PML. Members noted that PHARMAC tenders have historically been for &#39;bulk forming laxatives&#39; which encompasses both sterculia and ispaghula (psyllium), and so one or the other will be funded in the community at any point in time.    The Subcommittee considered that, as sterculia with frangula is not fully subsidised in the Pharmaceutical Schedule and as it does not have a niche use in hospitals, it did not need to be included in a national PML.&#39;; &#39;The Subcommittee recommended that two bulk forming laxatives be available for both hospital and community use, therefore in addition to psyllium it recommends that sterculia be listed.&#39;; The consultation document proposed that sterculia not be listed in Section H at this time, but noted that this would not prevent it from being considered for inclusion at a later date.    Sterculia with frangula is proposed to be listed in Section H, but only for continuation use.",,,1969-12-31
a0R2P000000MTcGUAW,Hypromellose sodium oral gel,A-00033,,Hypromellose sodium oral gel,PHARMAC Initiated,Hospital listing,Decision,Hypromellose sodium oral gel,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptol,Alimentary Tract and Metabolism,2011-01-01 00:00:00,2013-03-19 00:00:00,808,212,366,0,31,30,151,2011-01-01:Application received,"2011-08-02:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 2 August 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that three proprietary saliva substitute products were currently in use in DHB hospitals, and that saliva substitute spray (Oralube) was the most widely used of these. The Subcommittee noted that the other two products - carmellose sodium oral spray and hypromellose sodium oral gel - were significantly less used, and considered that these did not need to be included in a national PML if Oralube was available.&#39;",,,1969-12-31
a0R2P000000MR2mUAG,Compound electrolytes ice block,A-01482,,Compound electrolytes ice block,PHARMAC Initiated,Hospital listing,Decision,Compound electrolytes ice block,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puKU,Blood and Blood Forming Organs,2011-01-01 00:00:00,2013-05-16 00:00:00,866,334,,,428,28,61,2011-01-01:Application received,"2011-12-06:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 6 December 2011.
2013-02-14:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 14 February 2013.",,,2013-02-25:Public consultation for this application is active.,2013-03-11:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-05-16:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee noted that compound electrolytes ice blocks are not widely used in DHB hospitals and are not subsidised in the Pharmaceutical Schedule, and recommended that they not be included in a national PML.; The consultation document proposed that compound electrolytes ice blocks not be listed in Section H at this time.",,,
